ID клиента,Вероятность заключения договора,"Вероятность заключения договора, %"
1,0.3299994934480466,33.0
2,0.6267775714327268,62.7
3,0.39775470993661455,39.8
4,0.4503884028568738,45.0
5,0.8960380457406733,89.6
6,0.17284158783867629,17.3
7,0.36368651071191316,36.4
8,0.1659542379708322,16.6
9,0.9130169259441849,91.3
10,0.14582371293228175,14.6
11,0.3692371675921242,36.9
12,0.13450119612592473,13.5
13,0.1776725944740099,17.8
14,0.542235947073372,54.2
15,0.3411591877299386,34.1
16,0.577795531295002,57.8
17,0.14357320463031917,14.4
18,0.7494076351236445,74.9
19,0.4544340478884959,45.4
20,0.5803387685809855,58.0
21,0.16931558865243812,16.9
22,0.10290090143373747,10.3
23,0.5017757645888735,50.2
24,0.7119061875446908,71.2
25,0.2623918441818532,26.2
26,0.8972118229957541,89.7
27,0.22013370631592735,22.0
28,0.6962454882637263,69.6
29,0.28167002770114336,28.2
30,0.21198194069458323,21.2
31,0.6701568864844797,67.0
32,0.49202794651419635,49.2
33,0.47443157705768707,47.4
34,0.2875537734373116,28.8
35,0.48748806959469976,48.7
36,0.8496393197109401,85.0
37,0.21686585311578804,21.7
38,0.5319423166536381,53.2
39,0.6562201731570824,65.6
40,0.2942116171432716,29.4
41,0.4030528794359937,40.3
42,0.7755203792392781,77.6
43,0.6057944937857225,60.6
44,0.6260230871656822,62.6
45,0.0674963689699353,6.7
46,0.5119609541792567,51.2
47,0.6938690438223819,69.4
48,0.3946619111723562,39.5
49,0.17178065046721072,17.2
50,0.9153845487718386,91.5
51,0.15677823037259644,15.7
52,0.4209402897741588,42.1
53,0.9506429388820004,95.1
54,0.27558226377319656,27.6
55,0.8055847395660028,80.6
56,0.6882412959544771,68.8
57,0.8201126570791227,82.0
58,0.31408610084357974,31.4
59,0.1578389945370649,15.8
60,0.7517975519696909,75.2
61,0.34431449267268227,34.4
62,0.39857481816865,39.9
63,0.10924425081928613,10.9
64,0.44247270552443163,44.2
65,0.9227078022623283,92.3
66,0.8087206246245264,80.9
67,0.9026534963935798,90.3
68,0.5141848024330767,51.4
69,0.1729376454672442,17.3
70,0.5788638211563011,57.9
71,0.3716918617949225,37.2
72,0.4416979456271222,44.2
73,0.5652683047328977,56.5
74,0.4222106373954821,42.2
75,0.5151956448181326,51.5
76,0.90143333842983,90.1
77,0.08503302164426503,8.5
78,0.902301731088418,90.2
79,0.08817346622992606,8.8
80,0.43512055315233206,43.5
81,0.5688745219799618,56.9
82,0.8487108651325905,84.9
83,0.3304726237520796,33.0
84,0.6273775917512026,62.7
85,0.20770029042733745,20.8
86,0.19326893897938038,19.3
87,0.3437427341339991,34.4
88,0.587715675293666,58.8
89,0.281683691661768,28.2
90,0.3626751766198208,36.3
91,0.542764129336433,54.3
