ID клиента,Тип компании,Прибыль компании-клиента,Постоянный или новый клиент,Потребность клиента в товаре,Договор_заключен,Стадия работы с клиентом
1,Маркетинг,15593991,Постоянный,Средняя потребность,0,Холодный звонок
2,Торговля,13486305,Новый,Срочная потребность,1,Договор заключен
3,Консалтинг,18609165,Новый,Высокая потребность,0,Работа над договором
4,Продажи,19217651,Постоянный,Низкая потребность,0,Холодный звонок
5,Продажи,14142378,Постоянный,Срочная потребность,1,Договор заключен
6,Ритейл,7512609,Новый,Средняя потребность,0,Договор расторгнут
7,Маркетинг,12041517,Постоянный,Низкая потребность,0,Холодный звонок
8,Консалтинг,8587873,Новый,Низкая потребность,0,Работа над договором
9,Строительство,12637568,Постоянный,Высокая потребность,1,Договор заключен
10,Маркетинг,16270640,Постоянный,Нет потребности,0,Холодный звонок
11,Продажи,7481248,Постоянный,Средняя потребность,0,Договор расторгнут
12,Ритейл,10189381,Новый,Низкая потребность,1,Договор заключен
13,Торговля,1055884,Постоянный,Средняя потребность,0,Договор расторгнут
14,Торговля,14770975,Постоянный,Средняя потребность,0,Работа над договором
15,Торговля,9873579,Постоянный,Высокая потребность,1,Договор заключен
16,Торговля,9275232,Постоянный,Средняя потребность,0,Холодный звонок
17,Продажи,10718750,Постоянный,Нет потребности,0,Холодный звонок
18,Маркетинг,4427578,Постоянный,Высокая потребность,0,Холодный звонок
19,Торговля,12019654,Постоянный,Средняя потребность,1,Договор заключен
20,Продажи,14942296,Новый,Высокая потребность,0,Договор расторгнут
21,Продажи,7091072,Новый,Низкая потребность,0,Холодный звонок
22,Финансы,2753430,Постоянный,Нет потребности,0,Работа над договором
23,Строительство,7828698,Постоянный,Средняя потребность,1,Договор заключен
24,Ритейл,4091885,Постоянный,Средняя потребность,1,Договор заключен
25,Торговля,7572693,Постоянный,Средняя потребность,1,Договор заключен
26,Консалтинг,12592475,Постоянный,Срочная потребность,1,Договор заключен
27,Финансы,2400882,Новый,Средняя потребность,0,Работа над договором
28,Торговля,14983305,Новый,Высокая потребность,1,Договор заключен
29,Продажи,4608580,Постоянный,Высокая потребность,0,Работа над договором
30,Продажи,17909554,Постоянный,Нет потребности,1,Договор заключен
31,Продажи,14689008,Постоянный,Высокая потребность,1,Договор заключен
32,Строительство,5560841,Постоянный,Средняя потребность,1,Договор заключен
33,Маркетинг,11330069,Постоянный,Средняя потребность,1,Договор заключен
34,Продажи,2347876,Постоянный,Низкая потребность,0,Холодный звонок
35,Ритейл,2129825,Постоянный,Высокая потребность,0,Холодный звонок
36,Маркетинг,19127526,Постоянный,Срочная потребность,1,Договор заключен
37,Ритейл,16078261,Постоянный,Нет потребности,0,Холодный звонок
38,Торговля,3215298,Постоянный,Высокая потребность,0,Холодный звонок
39,Строительство,5761382,Постоянный,Высокая потребность,1,Договор заключен
40,Консалтинг,4073689,Новый,Средняя потребность,0,Работа над договором
41,Строительство,7993949,Новый,Высокая потребность,0,Работа над договором
42,Торговля,5932889,Постоянный,Высокая потребность,0,Холодный звонок
43,Консалтинг,6662044,Новый,Срочная потребность,1,Договор заключен
44,Финансы,10658418,Новый,Срочная потребность,1,Договор заключен
45,Маркетинг,3902713,Постоянный,Нет потребности,0,Холодный звонок
46,Ритейл,17674087,Постоянный,Средняя потребность,1,Договор заключен
47,Продажи,14593881,Постоянный,Высокая потребность,1,Договор заключен
48,Ритейл,15246838,Постоянный,Низкая потребность,1,Договор заключен
49,Консалтинг,3514123,Постоянный,Средняя потребность,0,Договор расторгнут
50,Торговля,14206927,Постоянный,Срочная потребность,1,Договор заключен
51,Торговля,16749461,Постоянный,Нет потребности,0,Работа над договором
52,Строительство,3627334,Постоянный,Средняя потребность,0,Холодный звонок
53,Финансы,15062869,Постоянный,Срочная потребность,1,Договор заключен
54,Продажи,7250000,Новый,Средняя потребность,0,Работа над договором
55,Продажи,15783448,Постоянный,Средняя потребность,1,Договор заключен
56,Маркетинг,9646337,Постоянный,Срочная потребность,1,Договор заключен
57,Продажи,16073842,Постоянный,Средняя потребность,0,Холодный звонок
58,Строительство,3076405,Постоянный,Низкая потребность,0,Холодный звонок
59,Торговля,7873239,Постоянный,Нет потребности,0,Договор расторгнут
60,Консалтинг,5577579,Постоянный,Срочная потребность,0,Холодный звонок
61,Ритейл,5080028,Постоянный,Средняя потребность,0,Работа над договором
62,Торговля,6270414,Постоянный,Высокая потребность,0,Холодный звонок
63,Финансы,7741309,Новый,Низкая потребность,0,Договор расторгнут
64,Ритейл,2676432,Постоянный,Средняя потребность,1,Договор заключен
65,Финансы,14185589,Постоянный,Срочная потребность,1,Договор заключен
66,Финансы,11072257,Постоянный,Высокая потребность,0,Работа над договором
67,Ритейл,16611002,Постоянный,Срочная потребность,1,Договор заключен
68,Финансы,14144809,Постоянный,Средняя потребность,1,Договор заключен
69,Маркетинг,3108513,Постоянный,Высокая потребность,1,Договор заключен
70,Продажи,1538142,Постоянный,Срочная потребность,0,Работа над договором
71,Торговля,8542750,Постоянный,Средняя потребность,1,Договор заключен
72,Строительство,9700293,Новый,Средняя потребность,0,Работа над договором
73,Продажи,4918957,Постоянный,Срочная потребность,1,Договор заключен
74,Маркетинг,15676892,Постоянный,Средняя потребность,0,Договор расторгнут
75,Консалтинг,11694412,Новый,Высокая потребность,0,Работа над договором
76,Продажи,14997604,Постоянный,Срочная потребность,1,Договор заключен
77,Финансы,2313858,Новый,Низкая потребность,0,Холодный звонок
78,Строительство,16329200,Постоянный,Средняя потребность,1,Договор заключен
79,Продажи,4240895,Новый,Нет потребности,0,Работа над договором
80,Консалтинг,9047576,Постоянный,Средняя потребность,0,Работа над договором
81,Ритейл,8871525,Постоянный,Низкая потребность,1,Договор заключен
82,Продажи,16438058,Постоянный,Высокая потребность,1,Договор заключен
83,Строительство,5645407,Постоянный,Низкая потребность,1,Договор заключен
84,Торговля,4928948,Постоянный,Высокая потребность,1,Договор заключен
85,Консалтинг,6891618,Новый,Средняя потребность,0,Холодный звонок
86,Консалтинг,7312089,Постоянный,Средняя потребность,1,Договор заключен
87,Маркетинг,3756458,Постоянный,Средняя потребность,0,Работа над договором
88,Финансы,3650658,Постоянный,Высокая потребность,1,Договор заключен
89,Торговля,4742070,Постоянный,Средняя потребность,1,Договор заключен
90,Торговля,9429568,Постоянный,Средняя потребность,0,Договор расторгнут
91,Продажи,6965610,Новый,Срочная потребность,1,Договор заключен
92,Торговля,7932391,Постоянный,Высокая потребность,0,Работа над договором
93,Торговля,14423261,Постоянный,Низкая потребность,1,Договор заключен
94,Финансы,4932403,Постоянный,Срочная потребность,0,Работа над договором
95,Ритейл,18211362,Постоянный,Средняя потребность,0,Работа над договором
96,Финансы,15072847,Постоянный,Нет потребности,1,Договор заключен
97,Строительство,3617542,Постоянный,Высокая потребность,0,Холодный звонок
98,Консалтинг,6379858,Постоянный,Низкая потребность,0,Работа над договором
99,Консалтинг,3793493,Новый,Средняя потребность,1,Договор заключен
100,Маркетинг,5565165,Постоянный,Высокая потребность,1,Договор заключен
101,Торговля,7405104,Постоянный,Низкая потребность,0,Холодный звонок
102,Строительство,2748173,Постоянный,Высокая потребность,1,Договор заключен
103,Торговля,436519,Новый,Срочная потребность,1,Договор заключен
104,Маркетинг,8860610,Постоянный,Высокая потребность,0,Договор расторгнут
105,Торговля,14064672,Новый,Высокая потребность,0,Холодный звонок
106,Торговля,6163847,Новый,Высокая потребность,1,Договор заключен
107,Торговля,17230072,Новый,Срочная потребность,1,Договор заключен
108,Консалтинг,7480065,Постоянный,Средняя потребность,0,Работа над договором
109,Продажи,18030822,Постоянный,Низкая потребность,0,Договор расторгнут
110,Консалтинг,4834545,Постоянный,Высокая потребность,0,Работа над договором
111,Строительство,10855772,Постоянный,Высокая потребность,1,Договор заключен
112,Торговля,15298636,Постоянный,Низкая потребность,1,Договор заключен
113,Продажи,1321928,Новый,Высокая потребность,0,Холодный звонок
114,Продажи,18610566,Новый,Нет потребности,0,Работа над договором
115,Продажи,7394436,Постоянный,Срочная потребность,1,Договор заключен
116,Продажи,10033947,Постоянный,Средняя потребность,1,Договор заключен
117,Маркетинг,12624515,Постоянный,Нет потребности,0,Холодный звонок
118,Маркетинг,12913518,Постоянный,Низкая потребность,0,Договор расторгнут
119,Строительство,619819,Постоянный,Средняя потребность,0,Холодный звонок
120,Маркетинг,17363369,Постоянный,Средняя потребность,1,Договор заключен
121,Продажи,12528549,Постоянный,Нет потребности,0,Договор расторгнут
122,Консалтинг,19976768,Постоянный,Средняя потребность,1,Договор заключен
123,Консалтинг,9509528,Новый,Низкая потребность,0,Договор расторгнут
124,Продажи,12328302,Постоянный,Средняя потребность,1,Договор заключен
125,Торговля,8905096,Новый,Средняя потребность,0,Работа над договором
126,Продажи,17812122,Постоянный,Средняя потребность,1,Договор заключен
127,Маркетинг,16672889,Новый,Средняя потребность,0,Работа над договором
128,Торговля,18185873,Постоянный,Низкая потребность,1,Договор заключен
129,Консалтинг,10159973,Постоянный,Нет потребности,0,Холодный звонок
130,Консалтинг,15860312,Новый,Низкая потребность,0,Холодный звонок
131,Продажи,7272077,Новый,Высокая потребность,1,Договор заключен
132,Продажи,9299488,Новый,Срочная потребность,1,Договор заключен
133,Маркетинг,15240326,Постоянный,Срочная потребность,1,Договор заключен
134,Продажи,1760906,Постоянный,Высокая потребность,1,Договор заключен
135,Торговля,14253227,Постоянный,Высокая потребность,1,Договор заключен
136,Финансы,463740,Постоянный,Средняя потребность,0,Договор расторгнут
137,Консалтинг,11675918,Постоянный,Высокая потребность,0,Холодный звонок
138,Маркетинг,9622432,Постоянный,Высокая потребность,1,Договор заключен
139,Финансы,9453274,Постоянный,Срочная потребность,0,Работа над договором
140,Продажи,9962143,Новый,Срочная потребность,1,Договор заключен
141,Ритейл,9914880,Постоянный,Средняя потребность,1,Договор заключен
142,Строительство,8236143,Новый,Высокая потребность,0,Работа над договором
143,Строительство,9109382,Постоянный,Высокая потребность,1,Договор заключен
144,Финансы,11428121,Постоянный,Средняя потребность,0,Холодный звонок
145,Ритейл,15304796,Постоянный,Срочная потребность,0,Работа над договором
146,Торговля,11110429,Новый,Низкая потребность,0,Работа над договором
147,Маркетинг,12904077,Постоянный,Срочная потребность,0,Работа над договором
148,Строительство,16756768,Постоянный,Высокая потребность,1,Договор заключен
149,Торговля,19791818,Постоянный,Низкая потребность,0,Холодный звонок
150,Маркетинг,2306843,Постоянный,Высокая потребность,0,Холодный звонок
151,Торговля,14301578,Постоянный,Нет потребности,0,Холодный звонок
152,Строительство,4619776,Новый,Высокая потребность,1,Договор заключен
153,Ритейл,4056102,Постоянный,Высокая потребность,1,Договор заключен
154,Финансы,15891148,Постоянный,Высокая потребность,0,Работа над договором
155,Продажи,1513521,Новый,Срочная потребность,1,Договор заключен
156,Консалтинг,16979561,Постоянный,Низкая потребность,1,Договор заключен
157,Маркетинг,15445322,Новый,Средняя потребность,1,Договор заключен
158,Продажи,19897260,Постоянный,Средняя потребность,1,Договор заключен
159,Продажи,13408666,Постоянный,Нет потребности,1,Договор заключен
160,Торговля,17477303,Постоянный,Средняя потребность,0,Договор расторгнут
161,Ритейл,2502915,Постоянный,Средняя потребность,1,Договор заключен
162,Консалтинг,17814495,Новый,Средняя потребность,0,Работа над договором
163,Финансы,3332469,Постоянный,Средняя потребность,0,Договор расторгнут
164,Финансы,6389806,Постоянный,Срочная потребность,1,Договор заключен
165,Финансы,2694636,Постоянный,Средняя потребность,0,Работа над договором
166,Торговля,8122983,Постоянный,Срочная потребность,1,Договор заключен
167,Финансы,15017626,Новый,Средняя потребность,0,Холодный звонок
168,Строительство,5471489,Новый,Средняя потребность,1,Договор заключен
169,Финансы,16470577,Постоянный,Высокая потребность,1,Договор заключен
170,Маркетинг,12185043,Постоянный,Средняя потребность,1,Договор заключен
171,Маркетинг,12634183,Постоянный,Средняя потребность,1,Договор заключен
172,Маркетинг,18785286,Постоянный,Высокая потребность,0,Холодный звонок
173,Торговля,8722138,Новый,Низкая потребность,0,Работа над договором
174,Торговля,6991121,Постоянный,Средняя потребность,0,Работа над договором
175,Консалтинг,19891906,Постоянный,Высокая потребность,1,Договор заключен
176,Продажи,11206485,Постоянный,Средняя потребность,1,Договор заключен
177,Торговля,12349889,Новый,Срочная потребность,1,Договор заключен
178,Строительство,6031547,Постоянный,Средняя потребность,0,Работа над договором
179,Ритейл,4426421,Постоянный,Срочная потребность,1,Договор заключен
180,Продажи,3520529,Постоянный,Высокая потребность,0,Холодный звонок
181,Ритейл,4587646,Постоянный,Срочная потребность,1,Договор заключен
182,Строительство,4024432,Постоянный,Срочная потребность,1,Договор заключен
183,Продажи,14972402,Постоянный,Низкая потребность,0,Холодный звонок
184,Консалтинг,1300215,Постоянный,Высокая потребность,0,Холодный звонок
185,Продажи,12643281,Постоянный,Низкая потребность,1,Договор заключен
186,Продажи,18993476,Постоянный,Срочная потребность,1,Договор заключен
187,Строительство,15346219,Постоянный,Высокая потребность,1,Договор заключен
188,Финансы,8147160,Новый,Средняя потребность,0,Договор расторгнут
189,Строительство,1329141,Постоянный,Срочная потребность,1,Договор заключен
190,Финансы,16707299,Постоянный,Низкая потребность,0,Холодный звонок
191,Консалтинг,212502,Постоянный,Высокая потребность,1,Договор заключен
192,Консалтинг,13674390,Новый,Высокая потребность,1,Договор заключен
193,Консалтинг,13468338,Постоянный,Нет потребности,1,Договор заключен
194,Финансы,3959635,Постоянный,Высокая потребность,0,Холодный звонок
195,Ритейл,14836426,Новый,Срочная потребность,1,Договор заключен
196,Маркетинг,3632925,Постоянный,Нет потребности,0,Работа над договором
197,Финансы,4629111,Постоянный,Высокая потребность,1,Договор заключен
198,Маркетинг,16267965,Постоянный,Средняя потребность,1,Договор заключен
199,Финансы,19585711,Постоянный,Высокая потребность,1,Договор заключен
200,Ритейл,5404527,Постоянный,Низкая потребность,1,Договор заключен
201,Финансы,18438562,Постоянный,Срочная потребность,1,Договор заключен
202,Ритейл,18278710,Постоянный,Срочная потребность,1,Договор заключен
203,Продажи,15422741,Постоянный,Низкая потребность,1,Договор заключен
204,Консалтинг,2930099,Новый,Средняя потребность,0,Холодный звонок
205,Продажи,6093481,Постоянный,Высокая потребность,0,Работа над договором
206,Строительство,13602515,Постоянный,Высокая потребность,1,Договор заключен
207,Торговля,19984507,Новый,Средняя потребность,1,Договор заключен
208,Ритейл,16317306,Новый,Низкая потребность,0,Холодный звонок
209,Строительство,8492336,Постоянный,Низкая потребность,0,Работа над договором
210,Торговля,4819839,Постоянный,Срочная потребность,1,Договор заключен
211,Строительство,19212685,Новый,Средняя потребность,0,Холодный звонок
212,Торговля,5632716,Постоянный,Срочная потребность,0,Холодный звонок
213,Торговля,6943048,Новый,Средняя потребность,0,Холодный звонок
214,Продажи,19295699,Новый,Срочная потребность,1,Договор заключен
215,Торговля,11299047,Новый,Низкая потребность,1,Договор заключен
216,Строительство,5402262,Постоянный,Низкая потребность,1,Договор заключен
217,Маркетинг,256108,Постоянный,Срочная потребность,0,Холодный звонок
218,Маркетинг,8684647,Постоянный,Срочная потребность,1,Договор заключен
219,Продажи,19722129,Постоянный,Средняя потребность,0,Работа над договором
220,Ритейл,8735434,Новый,Средняя потребность,0,Работа над договором
221,Маркетинг,14035654,Постоянный,Средняя потребность,0,Работа над договором
222,Продажи,5172739,Постоянный,Средняя потребность,0,Холодный звонок
223,Консалтинг,15545916,Постоянный,Низкая потребность,1,Договор заключен
224,Строительство,15549453,Новый,Срочная потребность,0,Работа над договором
225,Торговля,12224771,Постоянный,Средняя потребность,0,Работа над договором
226,Финансы,15471209,Постоянный,Высокая потребность,1,Договор заключен
227,Торговля,11639627,Постоянный,Нет потребности,0,Холодный звонок
228,Консалтинг,7659612,Постоянный,Нет потребности,0,Работа над договором
229,Продажи,14796917,Постоянный,Высокая потребность,0,Работа над договором
230,Строительство,16727246,Постоянный,Средняя потребность,1,Договор заключен
231,Продажи,16845057,Постоянный,Высокая потребность,1,Договор заключен
232,Торговля,4379537,Постоянный,Низкая потребность,0,Холодный звонок
233,Маркетинг,13580363,Постоянный,Срочная потребность,0,Холодный звонок
234,Торговля,235469,Постоянный,Высокая потребность,0,Холодный звонок
235,Продажи,11504187,Постоянный,Срочная потребность,0,Работа над договором
236,Торговля,11487672,Постоянный,Низкая потребность,1,Договор заключен
237,Консалтинг,7365384,Постоянный,Средняя потребность,0,Холодный звонок
238,Продажи,19882443,Постоянный,Средняя потребность,0,Договор расторгнут
239,Финансы,17676774,Постоянный,Высокая потребность,1,Договор заключен
240,Консалтинг,917089,Постоянный,Средняя потребность,0,Холодный звонок
241,Маркетинг,4295387,Постоянный,Нет потребности,0,Холодный звонок
242,Консалтинг,4278761,Постоянный,Средняя потребность,0,Договор расторгнут
243,Маркетинг,17966543,Новый,Средняя потребность,1,Договор заключен
244,Консалтинг,10450455,Постоянный,Средняя потребность,1,Договор заключен
245,Консалтинг,14618162,Постоянный,Низкая потребность,1,Договор заключен
246,Маркетинг,16227323,Постоянный,Средняя потребность,1,Договор заключен
247,Торговля,15387253,Постоянный,Высокая потребность,0,Работа над договором
248,Финансы,1917483,Постоянный,Средняя потребность,1,Договор заключен
249,Торговля,2935647,Новый,Средняя потребность,0,Холодный звонок
